CASENO,OFFENSE_CAT,OFFENSE,EVENT_MONTH,EVENT_DAY,EVENT_YEAR,EVENT_TIME,CVLEGEND,EVENT_DOW,Day,BLKADDR,City,State,Latitude,Longitude
16042280,VEHICLE THEFT,VEHICLE STOLEN,7,17,2016,16,MOTOR VEHICLE THEFT,0,Sunday,300 PANORAMIC WAY,Berkeley,CA,37.869926,-122.246398
16048878,VEHICLE THEFT,VEHICLE STOLEN,8,18,2016,16,MOTOR VEHICLE THEFT,4,Thursday,1900 BONITA AVE,Berkeley,CA,37.873454,-122.27209
16050316,THEFT,THEFT MISD. (UNDER $950),8,26,2016,11,LARCENY,5,Friday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16046007,THEFT,THEFT MISD. (UNDER $950),7,6,2016,0,LARCENY,3,Wednesday,3000 STANTON ST,Berkeley,CA,37.853203,-122.279642
16037695,VANDALISM,VANDALISM,6,25,2016,22,VANDALISM,6,Saturday,CALIFORNIA STREET & BANCROFT WAY,Berkeley,CA,37.866112,-122.279303
16091093,VANDALISM,VANDALISM,7,3,2016,18,VANDALISM,0,Sunday,2400 TELEGRAPH AVE,Berkeley,CA,37.866761,-122.258779
16052323,VEHICLE THEFT,VEHICLE STOLEN,9,4,2016,13,MOTOR VEHICLE THEFT,0,Sunday,1000 CRAGMONT AVE,Berkeley,CA,37.891102,-122.265854
16048316,MISSING PERSON,MISSING ADULT,8,16,2016,17,MISSING PERSON,2,Tuesday,1400 SIXTY-SEVENTH ST,Berkeley,CA,37.87783,-122.299723
16035891,NARCOTICS,NARCOTICS,6,17,2016,19,DRUG VIOLATION,5,Friday,1300 HASKELL ST,Berkeley,CA,37.851107,-122.28324
16035140,BURGLARY,BURGLARY AUTO,6,14,2016,9,BURGLARY - VEHICLE,2,Tuesday,2400 DURANT AVE,Berkeley,CA,37.867513,-122.26127
16050814,BURGLARY,BURGLARY AUTO,8,28,2016,13,BURGLARY - VEHICLE,0,Sunday,1200 FIFTH ST,Berkeley,CA,37.880786,-122.303067
16054328,DISTURBANCE,DISTURBANCE,9,13,2016,23,DISORDERLY CONDUCT,2,Tuesday,2400 TELEGRAPH AVE,Berkeley,CA,37.866761,-122.258779
16062121,BURGLARY,BURGLARY AUTO,10,18,2016,18,BURGLARY - VEHICLE,2,Tuesday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16091451,IDENTITY THEFT,IDENTITY THEFT,7,14,2016,12,FRAUD,4,Thursday,2100 HASTE ST,Berkeley,CA,37.864908,-122.267289
16033687,DISTURBANCE,DISTURBANCE,6,7,2016,20,DISORDERLY CONDUCT,2,Tuesday,1700 UNIVERSITY AVE,Berkeley,CA,37.870948,-122.27733
16048784,BURGLARY,BURGLARY AUTO,8,19,2016,8,BURGLARY - VEHICLE,5,Friday,900 MURRAY ST,Berkeley,CA,37.850809,-122.291042
16060329,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,10,10,2016,19,FAMILY OFFENSE,1,Monday,3000 ACTON ST,Berkeley,CA,37.853085,-122.281368
16049504,VANDALISM,VANDALISM,8,20,2016,12,VANDALISM,6,Saturday,2100 JEFFERSON AVE,Berkeley,CA,37.869691,-122.27849
16056591,NARCOTICS,NARCOTICS,9,25,2016,19,DRUG VIOLATION,0,Sunday,ALCATRAZ AVENUE & ELLIS ST,Berkeley,CA,37.848585,-122.272612
16045990,DISTURBANCE,DISTURBANCE,8,4,2016,19,DISORDERLY CONDUCT,4,Thursday,2800 MCGEE AVE,Berkeley,CA,37.857474,-122.275425
16045469,THEFT,THEFT MISD. (UNDER $950),7,31,2016,17,LARCENY,0,Sunday,2400 PROSPECT ST,Berkeley,CA,37.867717,-122.249901
16064118,BURGLARY,BURGLARY RESIDENTIAL,10,26,2016,12,BURGLARY - RESIDENTIAL,3,Wednesday,1800 SHATTUCK AVE,Berkeley,CA,37.874441,-122.268717
16058794,DISTURBANCE,DISTURBANCE,10,3,2016,17,DISORDERLY CONDUCT,1,Monday,PARKER STREET & CHILTON WAY,Berkeley,CA,37.86317,-122.259572
16091707,VANDALISM,VANDALISM,10,3,2016,2,VANDALISM,1,Monday,2200 DURANT AVE,Berkeley,CA,37.866969,-122.26553
16036647,THEFT,THEFT FELONY (OVER $950),6,21,2016,5,LARCENY,2,Tuesday,2300 HEARST AVE,Berkeley,CA,37.874771,-122.262116
16037341,BURGLARY,BURGLARY AUTO,6,24,2016,9,BURGLARY - VEHICLE,5,Friday,2000 CENTER ST,Berkeley,CA,37.869973,-122.270557
16054031,DISTURBANCE,DISTURBANCE,9,12,2016,8,DISORDERLY CONDUCT,1,Monday,1600 BANCROFT WAY,Berkeley,CA,37.866135,-122.279115
16034460,THEFT,THEFT MISD. (UNDER $950),5,31,2016,0,LARCENY,2,Tuesday,1100 ADDISON ST,Berkeley,CA,37.868161,-122.291751
16054052,NARCOTICS,NARCOTICS,9,12,2016,18,DRUG VIOLATION,1,Monday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16038401,DISTURBANCE,DISTURBANCE,6,29,2016,11,DISORDERLY CONDUCT,3,Wednesday,1200 HASKELL ST,Berkeley,CA,37.850541,-122.286037
16062084,BURGLARY,BURGLARY RESIDENTIAL,10,12,2016,10,BURGLARY - RESIDENTIAL,3,Wednesday,2600 ETNA ST,Berkeley,CA,37.863823,-122.252575
16040898,BURGLARY,BURGLARY RESIDENTIAL,7,9,2016,16,BURGLARY - RESIDENTIAL,6,Saturday,1800 SONOMA AVE,Berkeley,CA,37.885752,-122.27805
16047027,NARCOTICS,NARCOTICS,8,9,2016,14,DRUG VIOLATION,2,Tuesday,800 HEARST AVE,Berkeley,CA,37.869084,-122.299245
16063841,VANDALISM,VANDALISM,10,27,2016,20,VANDALISM,4,Thursday,1500 JUANITA WAY,Berkeley,CA,37.877596,-122.28657
